[08-07 09:18:05]日志流被成功打开.
[08-06 06:11:09](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 06:11:33](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 06:11:37](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-06 06:11:37](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-06 06:11:59](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-06 06:12:03](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:14:23](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-08 06:14:57](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-08 06:15:05](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:15:10](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-08 06:15:33](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-08 06:15:38](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:16:23](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-08 06:19:45](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-08 06:19:53](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:20:00](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-08 06:21:09](127.0.0.1)：[test0002]exit char[i87324]begin entry select char UI...，	 online/total:1/0
[08-08 06:21:12](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:21:12](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-08 06:22:48](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-08 06:25:29](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-08 06:25:37](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:25:55](127.0.0.1)：[test0002]select char[i87324]begin paly...，	 online/total：1/0
[08-08 06:25:56](127.0.0.1):[test0002] char [i87324]entry map server begin play...，	 online/total:1/1
[08-08 06:26:20](127.0.0.1)：[test0002]exit char[i87324]begin entry select char UI...，	 online/total:1/0
[08-08 06:26:31](127.0.0.1)：[test0002i873241/0
[08-08 06:26:45](127.0.0.1)：[test0002]create char [893241]，	 online/total:1/0
[08-08 06:26:50](127.0.0.1)：[test0002]select char[893241]begin paly...，	 online/total：1/0
[08-08 06:26:50](127.0.0.1):[test0002] char [893241]entry map server begin play...，	 online/total:1/1
[08-08 06:27:52](127.0.0.1)：[test0002]logout,	 online/total:0/0
